MBD_Temp_ID,Latitude,Longitude
TEMP000143,51.0077714,-1.0349179
TEMP000144,50.8453749,-1.0662304
TEMP000145,51.2357028,-1.387069
TEMP000146,51.2403659,-1.544015
TEMP000147,50.8692216,-1.4184665
TEMP000148,50.9295864,-1.6798614
TEMP000149,51.265187,-1.0818033
TEMP000150,51.3196971,-1.4408725
TEMP000151,50.927029,-1.6591972
TEMP000152,51.2507445,-1.5080309
TEMP000153,51.3363868,-1.0195206
TEMP000154,50.9278061,-1.8775317
TEMP000155,51.0823423,-1.3697879
TEMP000156,50.8838076,-1.4953886
TEMP000157,50.9826263,-0.7035103
TEMP000158,51.2900724,-0.9347076
TEMP000159,51.1098797,-0.9462155
TEMP000160,50.9976135,-1.1910525
TEMP000161,50.9260773,-1.3934885
TEMP000162,51.2696014,-0.8735378
TEMP000163,50.9645327,-1.8386286
TEMP000164,50.8707839,-1.7738644
TEMP000165,50.9895128,-1.5011993
TEMP000166,51.0111413,-0.9733476
TEMP000167,50.8612087,-1.2325129
TEMP000168,51.015372,-0.9204552
TEMP000169,50.9997084,-1.5855292
TEMP000170,50.926345,-1.4420302
TEMP000171,51.3567558,-1.0775279
TEMP000172,51.0323169,-1.4357286
TEMP000173,51.2000741,-1.661026
TEMP000174,50.7710785,-1.7784346
TEMP000175,50.9257083,-1.5358097
TEMP000176,51.163834,-0.8958488
TEMP000177,50.9700383,-1.8913278
TEMP000178,51.0854334,-0.9992987
TEMP000179,51.1362994,-0.9613723
TEMP000180,51.0907308,-1.4353761
TEMP000181,51.1399561,-1.5868974
TEMP000182,51.2207485,-0.9678053
TEMP000183,51.0113102,-1.0640299
TEMP000184,51.1451439,-1.1020187
TEMP000185,51.0660412,-1.3029714
TEMP000186,51.1526274,-1.321014
TEMP000187,51.2392912,-1.4610342
TEMP000188,50.8930175,-1.3778096
TEMP000189,51.127353,-0.9420326
TEMP000190,51.0628716,-1.3160509
TEMP000191,50.9610298,-1.1375683
TEMP000192,50.7717024,-1.6798192
TEMP000193,50.6775072,-1.2455852
TEMP000194,50.7471376,-1.2647245
TEMP000195,50.6338744,-1.3155694
TEMP000196,50.6001506,-1.186821
TEMP000197,50.6600742,-1.187753
TEMP000198,50.6310446,-1.2642824
TEMP000199,50.581995,-1.279115
TEMP000200,50.6914158,-1.3133173
TEMP000201,50.6697128,-1.4396767
TEMP000202,50.6335255,-1.2561832
TEMP000203,50.6930674,-1.1592581
TEMP000204,50.6486099,-1.2591946
TEMP000205,50.6120003,-1.1857195
TEMP000206,50.6659875,-1.2634497
TEMP000207,50.7200761,-1.2001072
TEMP000208,50.6549009,-1.2683387
TEMP000209,50.6912338,-1.2869184
TEMP000210,50.6467057,-1.355008
TEMP000211,50.6736305,-1.539518
TEMP000212,50.6182847,-1.2219126
TEMP000213,52.7154214,0.5789636
TEMP000214,52.6845354,0.5365579
TEMP000215,52.4761467,1.1732392
TEMP000216,52.7876912,1.2328079
TEMP000217,52.8645795,1.1079072
TEMP000218,52.6288393,1.1133292
TEMP000219,52.5705103,1.107723
TEMP000220,52.9123537,1.2065196
TEMP000221,52.4906402,1.3643288
TEMP000222,52.9421449,1.2340325
TEMP000223,52.9382951,1.2237391
TEMP000224,52.7437474,0.9807571
TEMP000225,52.6647309,1.5922299
TEMP000226,52.8338319,1.182917
TEMP000227,52.8618028,0.6278008
TEMP000228,52.4881811,0.5244538
TEMP000229,52.6525766,1.637018
TEMP000230,52.6359786,1.215852
TEMP000231,52.8218842,1.3869382
TEMP000232,52.6389903,0.8524183
